"Ad name","Ad delivery",Results,"Result indicator","Cost per results","Amount spent (USD)","CPM (cost per 1,000 impressions) (USD)",Frequency,Reach,Impressions,"Clicks (all)","Cost per outbound click (USD)","Outbound CTR (click-through rate)","Outbound clicks","CPC (cost per link click) (USD)","CTR (link click-through rate)","Link clicks","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","Reporting starts","Reporting ends","Ad set budget","Ad set budget type","Campaign ID","Ad ID","Ad set name","Ad set ID","Campaign name","Results (initial)","Results (initial) indicator"
"Starseed_ES_static_9x16 (2)-latam",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241042515200284,120241042515190284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,120241042515210284,Starseed_ES_cbo_static_9x16_ES+LatAm-1,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496910284,120240956496940284,Soulmate-v2-abo-static-date_of_birth-1,120240956497060284,Soulmate-v2-сbo-static-date_of_birth-4,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240956496950284,120240956497020284,Soulmate-v2-abo-static-date_of_birth-1,120240956497080284,Soulmate-v2-сbo-static-date_of_birth-5,,
"soulmate-static-birth-9x16 (1) – 3",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239286855920284,120239287016610284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
"soulmate-static-birth-9x16 (1) – 2",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240170192160284,120240170192150284,Soulmate-abo-static-date_of_birth-1,120240170192200284,Soulmate-сbo-static-date_of_birth(1)-8,,
"soulmate-static-birth-9x16 (13)",inactive,4,actions:offsite_conversion.fb_pixel_purchase,39.6425,158.57,50.339683,1.066712,2953,3150,166,1.057133,4.761905,150,1.057133,4.761905,150,5.269841,0.955241,148,1.071419,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841338790284,Soulmate-v2-abo-static-date_of_birth-1,120240841338780284,Soulmate-v2-сbo-static-date_of_birth-3,,
"Starseed_ES_static_9x16 (7)",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120241041219770284,120241041806630284,Starseed_ES_cbo_static_9x16_ww-1,120241041219780284,Starseed_ES_cbo_static_9x16_ww,,
"soulmate-static-birth-9x16 (1)",inactive,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120240841338740284,120240841344520284,"Soulmate-v2-abo-static-date_of_birth-1 – 2",120240841344490284,Soulmate-v2-сbo-static-date_of_birth-3,,
"soulmate-static-birth-9x16 (1) – 2",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239989810150284,120239989810160284,Soulmate-abo-static-date_of_birth-1,120239989810140284,"Soulmate-сbo-static-date_of_birth(1)-5 – Copy",,
"soulmate-static-birth-9x16 (1) – 4",not_delivering,,,,0,0,0,0,0,0,,,,,,,0,0,,,2026-04-30,2026-04-30,"Using campaign budget",0,120239286855920284,120239287016600284,Soulmate-abo-static-date_of_birth-1,120239286855940284,Soulmate-сbo-static-date_of_birth(1)-3,,
